occurrenceID,institutionCode,catalogNumber,scientificName,order,family,genus,specificEpithet,day,month,year,countryCode,stateProvince,decimalLatitude,decimalLongitude,dynamicProperties,occurrenceRemarks,fieldNotes,body mass,body mass ambiguous,body mass units inferred,ear from notch,ear length,ear length units inferred,embryo count,embryo length,embryo size units inferred,forearm length,hind foot length,hind foot length units inferred,hind foot with claw,lactation,life stage,nipple,nipple count,pregnancy,sex,tail length,tail length estimated,tail length units inferred,testicle description,testicle length,testicle size units inferred,testicle width,total length,total length ambiguous,total length estimated,total length units inferred,tragus length,vagina
2f44e05e-4eec-4ae9-8fc4-3477dcc2182f,ASU,ASUMAC009037,"Xerospermophilus tereticaudus (Baird, 1858)",Rodentia,Sciuridae,Xerospermophilus,tereticaudus,15,5,2023,US,Arizona,33.302798,-111.410672,"{ ""totalLength"" : ""194 mm"" , ""tailLength"" : ""65 mm"" , ""hindFootLength"" : ""32 mm"" , ""earFromNotch"" : ""4 mm"" , ""weight"" : ""56.6 g"" , ""preservationFluid"" : ""70 percent ethanol, formalin fixed"" }",Weighed after frozen,,56.6,,,4.0,,,,,,,32.0,,,,,,,,,65.0,,,,,,,194.0,,,,,
cf36733e-a21c-4d31-8eda-0419af164c77,ASU,ASUMAC009027,"Otospermophilus variegatus (Erxleben, 1777)",Rodentia,Sciuridae,Otospermophilus,variegatus,3,10,2023,US,Arizona,34.001111,-110.958611,"{ ""digitizationProject"" : ""Ranges TCN"" , ""totalLength"" : ""328 mm"" , ""tailLength"" : ""195 mm"" , ""hindFootLength"" : ""50.4 mm"" , ""earFromNotch"" : ""10 mm"", ""weight"" : ""567 g"" }","Collected between 8:20 and 9:20 am; 48 deg F, no wind",,567.0,,,10.0,,,,,,,50.4,,,,,,,,,195.0,,,,,,,328.0,,,,,
c2fb98f2-c2bd-4c14-95f6-53c951937ede,ASU,ASUMAC009029,"Sciurus arizonensis Coues, 1867",Rodentia,Sciuridae,Sciurus,arizonensis,20,12,2021,US,Arizona,31.31995,-111.82971,,Head only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797e9557-9571-4bcc-bbbf-b8252db26b16,ASU,ASUMAC009038,"Xerospermophilus tereticaudus (Baird, 1858)",Rodentia,Sciuridae,Xerospermophilus,tereticaudus,15,5,2023,US,Arizona,33.302798,-111.410672,"{ ""totalLength"" : ""236 mm"" , ""tailLength"" : ""82 mm"" , ""hindFootLength"" : ""31 mm"" , ""earFromNotch"" : ""6 mm"" , ""weight"" : ""118.19 g"" , ""preservationFluid"" : ""70 percent ethanol, formalin fixed"" }",Weighed after frozen,,118.19,,,6.0,,,,,,,31.0,,,,,,,,,82.0,,,,,,,236.0,,,,,
3d086afe-85ec-4d94-b2aa-ab47ac47e265,ASU,ASUMAC009028,"Lepus alleni Mearns, 1890",Lagomorpha,Leporidae,Lepus,alleni,9,10,1976,US,,32.823615,-111.334952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771ab8c6-4e07-429f-85e4-e0214a75f9d9,ASU,ASUMAC009026,"Otospermophilus variegatus (Erxleben, 1777)",Rodentia,Sciuridae,Otospermophilus,variegatus,3,10,2023,US,Arizona,34.001111,-110.958611,"{ ""digitizationProject"" : ""Ranges TCN"" , ""totalLength"" : ""490 mm"" , ""tailLength"" : ""208 mm"" , ""hindFootLength"" : ""59 mm"" , ""earFromNotch"" : ""26 mm"" , ""weight"" : ""878.8 g"" , ""hindFootClawLength"" : ""3 mm"" }","Collected between 8:20 and 9:20 am; 48 deg F, no wind",,878.8,,,26.0,,,,,,,,,3.0,,,,,,,208.0,,,,,,,490.0,,,,,
c7467040-fab6-4a44-af3e-3af4eca84470,ASU,ASUMAC009035,"Parastrellus hesperus (H.Allen, 1864)",Chiroptera,Vespertilionidae,Parastrellus,hesperus,8,8,2023,US,Arizona,32.021554,-112.72672,"{ ""totalLength"" : ""74 mm"" , ""tailLength"" : ""32 mm"" , ""hindFootLength"" : ""4 mm"" , ""earFromNotch"" : ""10 mm"" , ""forearmLength"" : ""30.35 mm"" , ""tragusLength"" : ""3 mm"" , ""weight"" : ""3.5 g""","weather at night start: 86.5 deg F, 49.2% humidity, 0.5 m/s wind, 25% cloud cover; weather at night end: 84.3 deg F, 49.8% humidity, 0.2 m/s wind, 15% cloud cover; Captured Live with Broken Right Wing; Euthanized",,3.5,,,10.0,,,,,,30.35,4.0,,,,,,,,,32.0,,,,,,,74.0,,,,3.0,
06ebcca7-f927-42d0-b8e8-ddf2ae3cd4d5,ASU,ASUMAC009036,"Xerospermophilus tereticaudus (Baird, 1858)",Rodentia,Sciuridae,Xerospermophilus,tereticaudus,15,5,2023,US,Arizona,33.302798,-111.410672,"{ ""totalLength"" : ""206 mm"" , ""tailLength"" : ""71 mm"" , ""hindFootLength"" : ""35 mm"" , ""earFromNotch"" : ""5 mm"" , ""weight"" : ""68.1 g"" , ""preservationFluid"" : ""70 percent ethanol, formalin fixed"" }",Weighed after frozen,,68.1,,,5.0,,,,,,,35.0,,,,,,,,,71.0,,,,,,,206.0,,,,,
6f83c279-4837-4697-866c-37d27f4ba537,ASU,ASUMAC009031,"Sciurus arizonensis Coues, 1867",Rodentia,Sciuridae,Sciurus,arizonensis,20,12,2021,US,Arizona,31.31995,-111.82971,,Head only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48cc5c99-13e7-4e6f-a65d-60cfb6585279,ASU,ASUMAC009032,"Sciurus arizonensis Coues, 1867",Rodentia,Sciuridae,Sciurus,arizonensis,11,10,2023,US,Arizona,34.001111,-110.958611,"{ ""digitizationProject"" : ""Ranges TCN"" , ""totalLength"" : ""528 mm"" , ""tailLength"" : ""252 mm"" , ""hindFootLength"" : ""71 mm"" , ""earFromNotch"" : ""21 mm"" , ""weight"" : ""737.1 g"" , ""hindFootClaw"" : ""6 mm"" }",Collected 8:25 am; 55 deg F air temp; no ectos detected; pellets in face,,737.1,,,21.0,,,,,,,,,6.0,,,,,,,252.0,,,,,,,528.0,,,,,
